Name,Team,Number,Position,Age,Height,Weight,College,Salary
DeMar DeRozan,Toronto Raptors,10,SG,26,185.1252697,220,USC,10050000
James Johnson,Toronto Raptors,3,PF,29,169.3482324,250,Wake Forest,2500000
Cory Joseph,Toronto Raptors,6,PG,24,182.3602858,190,Texas,7000000
Kyle Lowry,Toronto Raptors,7,PG,30,191.7051192,205,Villanova,12000000
Lucas Nogueira,Toronto Raptors,92,C,23,181.9231972,220,,1842000
Patrick Patterson,Toronto Raptors,54,PF,27,207.2729336,235,Kentucky,6268675
Norman Powell,Toronto Raptors,24,SG,23,216.2251064,215,UCLA,650000
Terrence Ross,Toronto Raptors,31,SF,25,232.878649,195,Washington,3553917
Luis Scola,Toronto Raptors,4,PF,36,197.6343109,240,,2900000
Jason Thompson,Toronto Raptors,1,PF,29,175.8291964,250,Rider,245177
Jonas Valanciunas,Toronto Raptors,17,C,24,239.9813069,255,,4660482
Delon Wright,Toronto Raptors,55,PG,24,194.5975508,190,Utah,1509360
Leandro Barbosa,Golden State Warriors,19,SG,33,183.3144819,194,,2500000
Harrison Barnes,Golden State Warriors,40,SF,24,215.0176265,225,North Carolina,3873398
Andrew Bogut,Golden State Warriors,12,C,31,168.7738987,260,Utah,13800000
Ian Clark,Golden State Warriors,21,SG,25,196.5715768,175,Belmont,947276
Stephen Curry,Golden State Warriors,30,PG,28,176.1488332,190,Davidson,11370786
Festus Ezeli,Golden State Warriors,31,C,26,174.8650314,265,Vanderbilt,2008748
Draymond Green,Golden State Warriors,23,PF,26,195.854429,230,Michigan State,14260870
Andre Iguodala,Golden State Warriors,9,SF,32,245.1562852,215,Arizona,11710456
Shaun Livingston,Golden State Warriors,34,PG,30,196.7164767,192,,5543725
Kevon Looney,Golden State Warriors,36,SF,20,183.3820632,220,UCLA,1131960
James Michael McAdoo,Golden State Warriors,20,SF,23,232.5662763,240,North Carolina,845059
Brandon Rush,Golden State Warriors,4,SF,30,192.0473415,220,Kansas,1270964
Marreese Speights,Golden State Warriors,5,C,28,196.0719378,255,Florida,3815000
Klay Thompson,Golden State Warriors,11,SG,26,179.2342892,215,Washington State,15501000
Anderson Varejao,Golden State Warriors,18,PF,33,235.505477,273,,289755
Cole Aldrich,Los Angeles Clippers,45,C,27,207.6416228,250,Kansas,1100602
Jeff Ayres,Los Angeles Clippers,19,PF,29,164.8712983,250,Arizona State,111444
Jamal Crawford,Los Angeles Clippers,11,SG,36,195.9549967,195,Michigan,5675000
Branden Dawson,Los Angeles Clippers,22,SF,23,176.6579166,225,Michigan State,525093
Jeff Green,Los Angeles Clippers,8,SF,29,220.6251252,235,Georgetown,9650000
Blake Griffin,Los Angeles Clippers,32,PF,27,207.7130258,251,Oklahoma,18907726
Wesley Johnson,Los Angeles Clippers,33,SF,28,194.7062128,215,Syracuse,1100602
DeAndre Jordan,Los Angeles Clippers,6,C,27,200.1195217,265,Texas A&M,19689000
Luc Richard Mbah a Moute,Los Angeles Clippers,12,PF,29,207.0151114,230,UCLA,947276
Chris Paul,Los Angeles Clippers,3,PG,31,182.4231166,175,Wake Forest,21468695
Paul Pierce,Los Angeles Clippers,34,SF,38,198.5560978,235,Kansas,3376000
Pablo Prigioni,Los Angeles Clippers,9,PG,39,215.1542462,185,,947726
JJ Redick,Los Angeles Clippers,4,SG,31,221.4359336,190,Duke,7085000
Austin Rivers,Los Angeles Clippers,25,PG,23,165.4857531,200,Duke,3110796
C.J. Wilcox,Los Angeles Clippers,30,SG,25,210.4096466,195,Washington,1159680
Brandon Bass,Los Angeles Lakers,2,PF,31,195.308483,250,LSU,3000000
Tarik Black,Los Angeles Lakers,28,C,24,192.7354116,250,Kansas,845059
Anthony Brown,Los Angeles Lakers,3,SF,23,231.8086572,210,Stanford,700000
Kobe Bryant,Los Angeles Lakers,24,SF,37,197.2779813,212,,25000000
Jordan Clarkson,Los Angeles Lakers,6,PG,24,167.1867177,194,Missouri,845059
Roy Hibbert,Los Angeles Lakers,17,C,29,166.0123455,270,Georgetown,15592217
Marcelo Huertas,Los Angeles Lakers,9,PG,33,149.9142062,200,,525093
Ryan Kelly,Los Angeles Lakers,4,PF,25,161.9360566,230,Duke,1724250
Larry Nance Jr.,Los Angeles Lakers,7,PF,23,148.9875989,230,Wyoming,1155600
Julius Randle,Los Angeles Lakers,30,PF,21,187.7751977,250,Kentucky,3132240
D'Angelo Russell,Los Angeles Lakers,1,PG,20,198.0055418,195,Ohio State,5103120
Robert Sacre,Los Angeles Lakers,50,C,27,143.262928,270,Gonzaga,981348
Louis Williams,Los Angeles Lakers,23,SG,29,171.2032906,175,,7000000
Metta World Peace,Los Angeles Lakers,37,SF,36,201.2048817,260,St. John's,947276
Nick Young,Los Angeles Lakers,0,SF,31,178.9999855,210,USC,5219169
Eric Bledsoe,Phoenix Suns,2,PG,26,197.4912166,190,Kentucky,13500000
Devin Booker,Phoenix Suns,1,SG,19,203.3071925,206,Kentucky,2127840
Chase Budinger,Phoenix Suns,10,SF,28,194.5799429,209,Arizona,206192
Tyson Chandler,Phoenix Suns,4,C,33,195.442639,240,,13000000
Archie Goodwin,Phoenix Suns,20,SG,21,183.5903692,200,Kentucky,1160160
John Jenkins,Phoenix Suns,23,SG,25,226.3870494,215,Vanderbilt,981348
Brandon Knight,Phoenix Suns,3,PG,24,201.2900964,189,Kentucky,13500000
Alex Len,Phoenix Suns,21,C,22,172.4021315,260,Maryland,3807120
Jon Leuer,Phoenix Suns,30,PF,27,205.5337795,228,Wisconsin,1035000
Phil Pressey,Phoenix Suns,25,PG,25,182.3597841,175,Missouri,55722
Ronnie Price,Phoenix Suns,14,PG,32,231.5123472,190,Utah Valley,947276
Mirza Teletovic,Phoenix Suns,35,PF,30,172.1292489,242,,5500000
P.J. Tucker,Phoenix Suns,17,SF,31,187.1577555,245,Texas,5500000
T.J. Warren,Phoenix Suns,12,SF,22,190.5540905,230,North Carolina State,2041080
Alan Williams,Phoenix Suns,15,C,23,213.0758364,260,UC Santa Barbara,83397
Quincy Acy,Sacramento Kings,13,SF,25,186.223979,240,Baylor,981348
James Anderson,Sacramento Kings,5,SG,27,176.8347324,213,Oklahoma State,1015421
Marco Belinelli,Sacramento Kings,3,SG,30,176.7423965,210,,6060606
Caron Butler,Sacramento Kings,31,SF,36,178.7858544,228,Connecticut,1449187
Omri Casspi,Sacramento Kings,18,SF,27,185.3092264,225,,2836186
Willie Cauley-Stein,Sacramento Kings,0,C,22,199.4672897,240,Kentucky,3398280
Darren Collison,Sacramento Kings,7,PG,28,193.5022103,175,UCLA,5013559
DeMarcus Cousins,Sacramento Kings,15,C,25,153.4219372,270,Kentucky,15851950
Seth Curry,Sacramento Kings,30,SG,25,192.1000306,185,Duke,947276
Duje Dukan,Sacramento Kings,26,PF,24,165.9923212,220,Wisconsin,525093
Rudy Gay,Sacramento Kings,8,SF,29,199.3286143,230,Connecticut,12403101
Kosta Koufos,Sacramento Kings,41,C,27,222.2186582,265,Ohio State,7700000
Ben McLemore,Sacramento Kings,23,SG,23,173.2758427,195,Kansas,3156600
Eric Moreland,Sacramento Kings,25,PF,24,167.7554225,238,Oregon State,845059
Rajon Rondo,Sacramento Kings,9,PG,30,210.4275116,186,Kentucky,9500000
Cameron Bairstow,Chicago Bulls,41,PF,25,198.1014423,250,New Mexico,845059
Aaron Brooks,Chicago Bulls,0,PG,31,233.5269387,161,Oregon,2250000
Jimmy Butler,Chicago Bulls,21,SG,26,182.8434973,220,Marquette,16407500
Mike Dunleavy,Chicago Bulls,34,SG,35,205.858694,230,Duke,4500000
Cristiano Felicio,Chicago Bulls,6,PF,23,164.0704162,275,,525093
Pau Gasol,Chicago Bulls,16,C,35,217.2985674,250,,7448760
Taj Gibson,Chicago Bulls,22,PF,30,199.916682,225,USC,8500000
Justin Holiday,Chicago Bulls,7,SG,27,199.6198204,185,Washington,947276
Doug McDermott,Chicago Bulls,3,SF,24,198.3765999,225,Creighton,2380440
Nikola Mirotic,Chicago Bulls,44,PF,25,145.8108914,220,,5543725
E'Twaun Moore,Chicago Bulls,55,SG,27,179.0242597,191,Purdue,1015421
Joakim Noah,Chicago Bulls,13,C,31,159.0871,232,Florida,13400000
Bobby Portis,Chicago Bulls,5,PF,21,200.4902812,230,Arkansas,1391160
Derrick Rose,Chicago Bulls,1,PG,27,164.0533617,190,Memphis,20093064
Tony Snell,Chicago Bulls,20,SF,24,187.5569209,200,New Mexico,1535880
Matthew Dellavedova,Cleveland Cavaliers,8,PG,25,213.5486189,198,Saint Mary's,1147276
Channing Frye,Cleveland Cavaliers,9,PF,33,194.6728479,255,Arizona,8193029
Kyrie Irving,Cleveland Cavaliers,2,PG,24,207.910073,193,Duke,16407501
LeBron James,Cleveland Cavaliers,23,SF,31,174.750006,250,,22970500
Richard Jefferson,Cleveland Cavaliers,24,SF,35,223.3680419,233,Arizona,947276
Dahntay Jones,Cleveland Cavaliers,30,SG,35,203.9280045,225,Duke,
James Jones,Cleveland Cavaliers,1,SG,35,204.3801654,218,Miami (FL),947276
Sasha Kaun,Cleveland Cavaliers,14,C,31,194.0082466,260,Kansas,1276000
Kevin Love,Cleveland Cavaliers,0,PF,27,212.394063,251,UCLA,19689000
Jordan McRae,Cleveland Cavaliers,12,SG,25,183.729812,179,Tennessee,111196
Timofey Mozgov,Cleveland Cavaliers,20,C,29,222.1124295,275,,4950000
Iman Shumpert,Cleveland Cavaliers,4,SG,25,154.0833492,220,Georgia Tech,8988765
J.R. Smith,Cleveland Cavaliers,5,SG,30,172.6898783,225,,5000000
Tristan Thompson,Cleveland Cavaliers,13,C,25,190.6957697,238,Texas,14260870
Mo Williams,Cleveland Cavaliers,52,PG,33,147.8797012,198,Alabama,2100000
Joel Anthony,Detroit Pistons,50,C,33,187.7617437,245,UNLV,2500000
Aron Baynes,Detroit Pistons,12,C,29,206.7851557,260,Washington State,6500000
Steve Blake,Detroit Pistons,22,PG,36,221.5873565,172,Maryland,2170465
Lorenzo Brown,Detroit Pistons,17,PG,25,205.2280632,189,North Carolina State,111444
Reggie Bullock,Detroit Pistons,25,SF,25,181.3622205,205,North Carolina,1252440
Kentavious Caldwell-Pope,Detroit Pistons,5,SG,23,191.1065236,205,Georgia,2891760
Spencer Dinwiddie,Detroit Pistons,8,PG,23,203.8632783,200,Colorado,845059
Andre Drummond,Detroit Pistons,0,C,22,174.2256169,279,Connecticut,3272091
Tobias Harris,Detroit Pistons,34,SF,23,226.9058686,235,Tennessee,16000000
Darrun Hilliard,Detroit Pistons,6,SF,23,172.6489798,205,Villanova,600000
Reggie Jackson,Detroit Pistons,1,PG,26,209.9758056,208,Boston College,13913044
Stanley Johnson,Detroit Pistons,3,SF,20,158.1118073,245,Arizona,2841960
Jodie Meeks,Detroit Pistons,20,SG,28,212.9684305,210,Kentucky,6270000
Marcus Morris,Detroit Pistons,13,PF,26,202.6162618,235,Kansas,5000000
Anthony Tolliver,Detroit Pistons,43,PF,31,187.7771857,240,Creighton,3000000
Lavoy Allen,Indiana Pacers,5,PF,27,149.0412974,255,Temple,4050000
Rakeem Christmas,Indiana Pacers,25,PF,24,196.1465841,250,Syracuse,1007026
Monta Ellis,Indiana Pacers,11,SG,30,224.1828957,185,,10300000
Paul George,Indiana Pacers,13,SF,26,234.57529,220,Fresno State,17120106
George Hill,Indiana Pacers,3,PG,30,237.3073286,188,IUPUI,8000000
Jordan Hill,Indiana Pacers,27,C,28,177.4601316,235,Arizona,4000000
Solomon Hill,Indiana Pacers,44,SF,25,232.4370808,225,Arizona,1358880
Ty Lawson,Indiana Pacers,10,PG,28,192.2535342,195,North Carolina,211744
Ian Mahinmi,Indiana Pacers,28,C,29,177.8529747,250,,4000000
C.J. Miles,Indiana Pacers,0,SF,29,164.9503441,231,,4394225
Glenn Robinson III,Indiana Pacers,40,SG,22,201.957792,222,Michigan,1100000
Rodney Stuckey,Indiana Pacers,2,PG,30,182.4042419,205,Eastern Washington,7000000
Myles Turner,Indiana Pacers,33,PF,20,188.5533365,243,Texas,2357760
Shayne Whittington,Indiana Pacers,42,PF,25,197.0172249,250,Western Michigan,845059
Joe Young,Indiana Pacers,1,PG,23,169.078656,180,Oregon,1007026
Giannis Antetokounmpo,Milwaukee Bucks,34,SF,21,187.4198281,222,,1953960
Jerryd Bayless,Milwaukee Bucks,19,PG,27,177.0743179,200,Arizona,3000000
Michael Carter-Williams,Milwaukee Bucks,5,PG,24,176.7671098,190,Syracuse,2399040
Jared Cunningham,Milwaukee Bucks,9,SG,25,236.9201423,195,Oregon State,947276
Tyler Ennis,Milwaukee Bucks,11,PG,21,198.235472,194,Syracuse,1662360
John Henson,Milwaukee Bucks,31,PF,25,215.6856596,229,North Carolina,2943221
Damien Inglis,Milwaukee Bucks,17,SF,21,223.4784617,246,,855000
O.J. Mayo,Milwaukee Bucks,3,SG,28,196.3988539,210,USC,8000000
Khris Middleton,Milwaukee Bucks,22,SG,24,202.1431668,234,Texas A&M,14700000
Greg Monroe,Milwaukee Bucks,15,C,26,176.0440657,265,Georgetown,16407500
Steve Novak,Milwaukee Bucks,6,SF,32,201.7952873,225,Marquette,295327
Johnny O'Bryant III,Milwaukee Bucks,77,PF,23,189.8901541,257,LSU,845059
Jabari Parker,Milwaukee Bucks,12,PF,21,198.7369935,250,Duke,5152440
Miles Plumlee,Milwaukee Bucks,18,C,27,195.2691587,249,Duke,2109294
Greivis Vasquez,Milwaukee Bucks,21,PG,29,207.4161849,217,Maryland,6600000
Rashad Vaughn,Milwaukee Bucks,20,SG,19,159.058101,202,UNLV,1733040
Justin Anderson,Dallas Mavericks,1,SG,22,179.4772114,228,Virginia,1449000
J.J. Barea,Dallas Mavericks,5,PG,31,189.7202058,185,Northeastern,4290000
Jeremy Evans,Dallas Mavericks,21,SF,28,191.9401419,200,Western Kentucky,1100602
Raymond Felton,Dallas Mavericks,2,PG,31,212.0373987,205,North Carolina,3950313
Devin Harris,Dallas Mavericks,34,PG,33,198.4536122,185,Wisconsin,4053446
David Lee,Dallas Mavericks,42,PF,33,183.9443955,245,Florida,2085671
Wesley Matthews,Dallas Mavericks,23,SG,29,174.9578821,220,Marquette,16407500
JaVale McGee,Dallas Mavericks,11,C,28,205.1907401,270,Nevada,1270964
Salah Mejri,Dallas Mavericks,50,C,29,175.3280942,245,,525093
Dirk Nowitzki,Dallas Mavericks,41,PF,37,184.0726977,245,,8333334
Zaza Pachulia,Dallas Mavericks,27,C,32,206.6243315,275,,5200000
Chandler Parsons,Dallas Mavericks,25,SF,27,206.1071429,230,Florida,15361500
Dwight Powell,Dallas Mavericks,7,PF,24,161.3354062,240,Stanford,845059
Charlie Villanueva,Dallas Mavericks,3,PF,31,186.0403632,232,Connecticut,947276
Deron Williams,Dallas Mavericks,8,PG,31,186.685271,200,Illinois,5378974
Trevor Ariza,Houston Rockets,1,SF,30,174.7307739,215,UCLA,8193030
Michael Beasley,Houston Rockets,8,SF,27,185.5336647,235,Kansas State,306527
Patrick Beverley,Houston Rockets,2,PG,27,197.0033507,185,Arkansas,6486486
Corey Brewer,Houston Rockets,33,SG,30,200.2441766,186,Florida,8229375
Clint Capela,Houston Rockets,15,PF,22,228.5372039,240,,1242720
Sam Dekker,Houston Rockets,7,SF,22,212.8921641,230,Wisconsin,1646400
Andrew Goudelock,Houston Rockets,0,PG,27,218.5272099,200,Charleston,200600
James Harden,Houston Rockets,13,SG,26,192.1602986,220,Arizona State,15756438
Montrezl Harrell,Houston Rockets,35,PF,22,214.8593926,240,Louisville,1000000
Dwight Howard,Houston Rockets,12,C,30,212.9209272,265,,22359364
Terrence Jones,Houston Rockets,6,PF,24,181.8394886,252,Kentucky,2489530
K.J. McDaniels,Houston Rockets,32,SG,23,210.4030765,205,Clemson,3189794
Donatas Motiejunas,Houston Rockets,20,PF,25,203.7838725,222,,2288205
Josh Smith,Houston Rockets,5,C,30,195.513047,225,,947276
Jason Terry,Houston Rockets,31,SG,38,186.7276479,185,Arizona,947276
Jordan Adams,Memphis Grizzlies,3,SG,21,207.2253427,209,UCLA,1404600
Tony Allen,Memphis Grizzlies,9,SG,34,170.6882546,213,Oklahoma State,5158539
Chris Andersen,Memphis Grizzlies,7,PF,37,170.6911569,245,Blinn College,5000000
Matt Barnes,Memphis Grizzlies,22,SF,36,174.6351592,226,UCLA,3542500
Vince Carter,Memphis Grizzlies,15,SG,39,186.0364042,220,North Carolina,4088019
Mike Conley,Memphis Grizzlies,11,PG,28,141.886875,175,Ohio State,9588426
Bryce Cotton,Memphis Grizzlies,8,PG,23,168.381399,165,Providence,700902
Jordan Farmar,Memphis Grizzlies,4,PG,29,198.207434,180,UCLA,
Marc Gasol,Memphis Grizzlies,33,C,31,226.0231168,255,,19688000
JaMychal Green,Memphis Grizzlies,0,PF,25,198.4190047,227,Alabama,845059
P.J. Hairston,Memphis Grizzlies,19,SF,23,199.9205266,230,North Carolina,1201440
Jarell Martin,Memphis Grizzlies,10,PF,22,199.2708686,239,LSU,1230840
Ray McCallum,Memphis Grizzlies,5,PG,24,142.5316244,190,Detroit,
Xavier Munford,Memphis Grizzlies,14,PG,24,172.0417866,180,Rhode Island,
Zach Randolph,Memphis Grizzlies,50,PF,34,199.1112594,260,Michigan State,9638555
Lance Stephenson,Memphis Grizzlies,1,SF,25,219.2661726,230,Cincinnati,9000000
Alex Stepheson,Memphis Grizzlies,35,PF,28,223.4065208,270,USC,
Brandan Wright,Memphis Grizzlies,34,PF,28,206.9759877,210,North Carolina,5464000
Alexis Ajinca,New Orleans Pelicans,42,C,28,182.159808,248,,4389607
Ryan Anderson,New Orleans Pelicans,33,PF,28,195.5590251,240,California,8500000
Omer Asik,New Orleans Pelicans,3,C,29,170.5930157,255,,9213483
Luke Babbitt,New Orleans Pelicans,8,SF,26,191.0930201,225,Nevada,1100602
Norris Cole,New Orleans Pelicans,30,PG,27,209.0733892,175,Cleveland State,3036927
Dante Cunningham,New Orleans Pelicans,44,PF,29,183.7813426,230,Villanova,2850000
Anthony Davis,New Orleans Pelicans,23,PF,23,184.0252462,253,Kentucky,7070730
Bryce Dejean-Jones,New Orleans Pelicans,31,SG,23,210.1953587,203,Iowa State,169883
Toney Douglas,New Orleans Pelicans,16,PG,30,197.7529485,195,Florida State,1164858
James Ennis,New Orleans Pelicans,4,SF,25,222.8442729,210,Long Beach State,845059
Tyreke Evans,New Orleans Pelicans,1,SG,26,189.0233746,220,Memphis,10734586
Tim Frazier,New Orleans Pelicans,2,PG,25,168.8419357,170,Penn State,845059
Alonzo Gee,New Orleans Pelicans,15,SF,29,182.5694833,225,Alabama,1320000
Eric Gordon,New Orleans Pelicans,10,SG,27,164.7101897,215,Indiana,15514031
Jordan Hamilton,New Orleans Pelicans,25,SG,25,206.839677,220,Texas,1015421
Jrue Holiday,New Orleans Pelicans,11,PG,25,185.1525097,205,UCLA,10595507
Orlando Johnson,New Orleans Pelicans,0,SG,27,201.3049525,220,UC Santa Barbara,55722
Kendrick Perkins,New Orleans Pelicans,5,C,31,147.2640607,270,,947276
Quincy Pondexter,New Orleans Pelicans,20,SF,28,188.4020161,220,Washington,3382023
LaMarcus Aldridge,San Antonio Spurs,12,PF,30,216.8361147,240,Texas,19689000
Kyle Anderson,San Antonio Spurs,1,SF,22,160.9172483,230,UCLA,1142880
Matt Bonner,San Antonio Spurs,15,C,36,183.6256635,235,Florida,947276
Boris Diaw,San Antonio Spurs,33,C,34,212.3928055,250,,7500000
Tim Duncan,San Antonio Spurs,21,C,40,189.5226512,250,Wake Forest,5250000
Manu Ginobili,San Antonio Spurs,20,SG,38,197.8871585,205,,2814000
Danny Green,San Antonio Spurs,14,SG,28,199.1539432,215,North Carolina,10000000
Kawhi Leonard,San Antonio Spurs,2,SF,24,195.5719277,230,San Diego State,16407500
Boban Marjanovic,San Antonio Spurs,40,C,27,190.0158843,290,,1200000
Kevin Martin,San Antonio Spurs,23,SG,33,202.4670192,199,Western Carolina,200600
Andre Miller,San Antonio Spurs,24,PG,40,219.3666525,200,Utah,250750
Patty Mills,San Antonio Spurs,8,PG,27,197.9630543,185,Saint Mary's,3578947
Tony Parker,San Antonio Spurs,9,PG,34,166.311474,185,,13437500
Jonathon Simmons,San Antonio Spurs,17,SG,26,206.3644954,195,Houston,525093
David West,San Antonio Spurs,30,PF,35,197.8462107,250,Xavier,1499187
Kent Bazemore,Atlanta Hawks,24,SF,26,202.2638554,201,Old Dominion,2000000
Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,184.9710858,205,Michigan,1304520
Kirk Hinrich,Atlanta Hawks,12,SG,35,183.942588,190,Kansas,2854940
Al Horford,Atlanta Hawks,15,C,30,179.3149104,245,Florida,12000000
Kris Humphries,Atlanta Hawks,43,PF,31,193.3750064,235,Minnesota,1000000
Kyle Korver,Atlanta Hawks,26,SG,35,241.2346859,212,Creighton,5746479
Paul Millsap,Atlanta Hawks,4,PF,31,208.9549267,246,Louisiana Tech,18671659
Mike Muscala,Atlanta Hawks,31,PF,24,206.2691605,240,Bucknell,947276
Lamar Patterson,Atlanta Hawks,13,SG,24,210.4886302,225,Pittsburgh,525093
Dennis Schroder,Atlanta Hawks,17,PG,22,230.8306412,172,,1763400
Mike Scott,Atlanta Hawks,32,PF,27,232.1800682,237,Virginia,3333333
Thabo Sefolosha,Atlanta Hawks,25,SF,32,201.5469492,220,,4000000
Tiago Splitter,Atlanta Hawks,11,C,31,212.6993912,245,,9756250
Walter Tavares,Atlanta Hawks,22,C,24,189.4934698,260,,1000000
Jeff Teague,Atlanta Hawks,0,PG,27,186.4553233,186,Wake Forest,8000000
Nicolas Batum,Charlotte Hornets,5,SG,27,170.1701001,200,,13125306
Troy Daniels,Charlotte Hornets,30,SG,24,152.4360239,205,Virginia Commonwealth,947276
Jorge Gutierrez,Charlotte Hornets,12,PG,27,175.3953169,189,California,189455
Tyler Hansbrough,Charlotte Hornets,50,PF,30,236.891524,250,North Carolina,947276
Aaron Harrison,Charlotte Hornets,9,SG,21,168.223524,210,Kentucky,525093
Spencer Hawes,Charlotte Hornets,0,PF,28,193.944934,245,Washington,6110034
Al Jefferson,Charlotte Hornets,25,C,31,208.1058674,289,,13500000
Frank Kaminsky III,Charlotte Hornets,44,C,23,177.7212646,240,Wisconsin,2612520
Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,179.4721873,232,Kentucky,6331404
Jeremy Lamb,Charlotte Hornets,3,SG,24,184.2225654,185,Connecticut,3034356
Courtney Lee,Charlotte Hornets,1,SG,30,180.5222655,200,Western Kentucky,5675000
